Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
Universidad del Norte,,,,120,application/json,Universidad del Norte,col,SAM,academic,700972,Colombia
University of Helsinki,,,,120,application/json,University of Helsinki,fin,EUR,academic,313007,Finland
University of Northern Iowa,,,,121,application/json,University of Northern Iowa,usa,NAM,academic,508327,United States
Stockholm University,,,,121,application/json,Stockholm University,swe,EUR,academic,332014,Sweden
Woosuk University,,,,122,application/json,Woosuk University,kor,APAC,academic,209128,South Korea
Michigan State University,,,,122,application/json,Michigan State University,usa,NAM,academic,508122,United States
Xavier University,,,,123,application/json,Xavier University,usa,NAM,academic,508793,United States
Cardiff University,,,,123,application/json,Cardiff University,gbr,EUR,academic,315006,United Kingdom
Texas A and M University,,,,124,application/json,Texas A and M University,usa,NAM,academic,508230,United States
Kyoto Prefectural University,,,,124,application/json,Kyoto Prefectural University,jpn,APAC,academic,208251,Japan
Maebashi Institute of Technology,,,,125,application/json,Maebashi Institute of Technology,jpn,APAC,academic,706944,Japan
Queen Mary University of London,,,,125,application/json,Queen Mary University of London,gbr,EUR,academic,315047,United Kingdom
Ohio Northern University,,,,126,application/json,Ohio Northern University,usa,NAM,academic,508627,United States
University of Gothenburg,,,,126,application/json,University of Gothenburg,swe,EUR,academic,332002,Sweden
Perm National Research Polytechnic University,,,,127,application/json,Perm National Research Polytechnic University,rus,EUR,academic,705029,Russian Federation
Delft University of Technology,,,,127,application/json,Delft University of Technology,nld,EUR,academic,325001,Netherlands
Singapore Polytechnic,,,,128,application/json,Singapore Polytechnic,sgp,APAC,academic,704806,Singapore
University of Bristol,,,,128,application/json,University of Bristol,gbr,EUR,academic,315067,United Kingdom
Teikyo Heisei University,,,,129,application/json,Teikyo Heisei University,jpn,APAC,academic,706959,Japan
University of Massachusetts,,,,129,application/json,University of Massachusetts,usa,NAM,academic,508295,United States
Toyama Prefectural University,,,,130,application/json,Toyama Prefectural University,jpn,APAC,academic,208169,Japan
University of Milan,,,,130,application/json,University of Milan,ita,EUR,academic,321055,Italy
University of Birmingham,,,,131,application/json,University of Birmingham,gbr,EUR,academic,315064,United Kingdom
Trinity Western University,,,,131,application/json,Trinity Western University,can,NAM,academic,705308,Canada
UNIVERSIDAD TECNICA PARTICULAR DE LOJA,,,,132,application/json,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,ecu,SAM,academic,701424,Ecuador
Vrije Universiteit,,,,132,application/json,Vrije Universiteit,nld,EUR,academic,325016,Netherlands
Union College,,,,133,application/json,Union College,usa,NAM,academic,508730,United States
Rice University,,,,133,application/json,Rice University,usa,NAM,academic,508194,United States
Universidade Estadual de Ponta Grossa,,,,134,application/json,Universidade Estadual de Ponta Grossa,bra,SAM,academic,602083,Brazil
University of Lausanne,,,,134,application/json,University of Lausanne,che,EUR,academic,306015,Switzerland
Nanjing University,,,,135,application/json,Nanjing University,chn,APAC,academic,203129,China
University of Shiga Prefecture,,,,135,application/json,University of Shiga Prefecture,jpn,APAC,academic,208348,Japan
University of Zululand,,,,136,application/json,University of Zululand,zaf,AFR,academic,115025,South Africa
Harbin Institute of Technology,,,,136,application/json,Harbin Institute of Technology,chn,APAC,academic,203076,China
Wuhan Textile University,,,,137,application/json,Wuhan Textile University,chn,APAC,academic,704018,China
Yunnan Minzu University,,,,138,application/json,Yunnan Minzu University,chn,APAC,academic,707521,China
Abu Dhabi University,,,,139,application/json,Abu Dhabi University,are,MEA,academic,700352,United Arab Emirates
Alabama State University,,,,140,application/json,Alabama State University,usa,NAM,academic,706750,United States
Andong National University,,,,141,application/json,Andong National University,kor,APAC,academic,209002,South Korea
Queen's University Kingston,,,,142,application/json,Queen's University Kingston,can,NAM,academic,501020,Canada
Sun Yat-Sen University,,,,143,application/json,Sun Yat-Sen University,chn,APAC,academic,203198,China
University of Science and Technology of China,,,,144,application/json,University of Science and Technology of China,chn,APAC,academic,203213,China
University of Southampton,,,,145,application/json,University of Southampton,gbr,EUR,academic,315097,United Kingdom
University of Hong Kong,,,,146,application/json,University of Hong Kong,hkg,APAC,academic,205006,Hong Kong
Tel Aviv University,,,,147,application/json,Tel Aviv University,isr,MEA,academic,403006,Israel
